HCHO Reading,Location,Current Date,Next Date,HCHO Reading Z-Score
0.000188061,Colombo Proper,6/12/2019,6/13/2019,0.34723402870914605
2.3285886143280304e-05,Colombo Proper,6/13/2019,6/14/2019,-1.591074052120821
8.209911205126233e-05,Colombo Proper,6/14/2019,6/15/2019,-0.8992332251361886
0.000163656,Colombo Proper,6/15/2019,6/16/2019,0.06014936158041375
0.00015854271692552723,Colombo Proper,6/16/2019,6/17/2019,0.0
0.000153446,Colombo Proper,6/17/2019,6/18/2019,-0.059954488097289885
0.000158331,Colombo Proper,6/18/2019,6/19/2019,-0.002490501253452343
0.000145076,Colombo Proper,6/19/2019,6/20/2019,-0.15841376545305677
0.00015854271692552723,Colombo Proper,6/20/2019,6/21/2019,0.0
0.00015854271692552723,Colombo Proper,6/21/2019,6/22/2019,0.0
0.00014035,Colombo Proper,6/22/2019,6/23/2019,-0.2140073789277706
1.9792269443138506e-05,Colombo Proper,6/23/2019,6/24/2019,-1.632170703931335
0.000288574,Colombo Proper,6/24/2019,6/25/2019,1.529604081858512
0.000169896,Colombo Proper,6/25/2019,6/26/2019,0.13355269380263413
0.000124216,Colombo Proper,6/27/2019,6/28/2019,-0.40379734079849255
8.171133330754701e-05,Colombo Proper,6/28/2019,6/29/2019,-0.9037948039749146
7.340520263976472e-05,Colombo Proper,6/29/2019,6/30/2019,-1.0015027637326708
2.0964513707570187e-05,Colombo Proper,6/30/2019,7/1/2019,-1.618381179061516
8.969739342465703e-05,Colombo Proper,7/1/2019,7/2/2019,-0.8098519475770217
8.080856806689084e-05,Colombo Proper,7/2/2019,7/3/2019,-0.9144143515516067
2.889810298407616e-05,Colombo Proper,7/3/2019,7/4/2019,-1.5250555557637575
8.317285235618187e-05,Colombo Proper,7/4/2019,7/5/2019,-0.8866024372640094
9.39126919104318e-05,Colombo Proper,7/5/2019,7/6/2019,-0.760265897069466
9.547040684925105e-06,Colombo Proper,7/6/2019,7/7/2019,-1.7526889619813006
9.452725531817138e-07,Colombo Proper,7/7/2019,7/8/2019,-1.85387461003785
0.000160678,Colombo Proper,7/8/2019,7/9/2019,0.025118091811539983
0.00015854271692552723,Colombo Proper,7/9/2019,7/10/2019,0.0
5.047959159020286e-05,Colombo Proper,7/10/2019,7/11/2019,-1.2711848541602986
6.685329661024943e-05,Colombo Proper,7/11/2019,7/12/2019,-1.0785751571578759
0.000135275,Colombo Proper,7/12/2019,7/13/2019,-0.2737064031309387
0.00015854271692552723,Colombo Proper,7/13/2019,7/14/2019,0.0
0.00015854271692552723,Colombo Proper,7/14/2019,7/15/2019,0.0
0.00015854271692552723,Colombo Proper,7/15/2019,7/16/2019,0.0
9.32507996651824e-05,Colombo Proper,7/16/2019,7/17/2019,-0.7680519702062214
0.00015854271692552723,Colombo Proper,7/17/2019,7/18/2019,0.0
0.00015854271692552723,Colombo Proper,7/18/2019,7/19/2019,0.0
0.00015854271692552723,Colombo Proper,7/19/2019,7/20/2019,0.0
9.77121531808704e-05,Colombo Proper,7/20/2019,7/21/2019,-0.71557148714968
0.000132802,Colombo Proper,7/21/2019,7/22/2019,-0.30279717886580254
0.00015854271692552723,Colombo Proper,7/22/2019,7/23/2019,0.0
-1.04e-05,Colombo Proper,7/23/2019,7/24/2019,-1.9873330732386252
5.20387301457421e-05,Colombo Proper,7/24/2019,7/25/2019,-1.252844154581337
0.000164455,Colombo Proper,7/25/2019,7/26/2019,0.06954828184412438
0.000170761,Colombo Proper,7/26/2019,7/27/2019,0.14372799546484882
0.000118504,Colombo Proper,7/27/2019,7/28/2019,-0.47098962183267884
0.000104177,Colombo Proper,7/28/2019,7/29/2019,-0.6395232020807161
0.000175436,Colombo Proper,7/29/2019,7/30/2019,0.1987216778589004
4.6955253049504447e-05,Colombo Proper,7/30/2019,7/31/2019,-1.3126428978728724
9.259486707748456e-05,Colombo Proper,7/31/2019,8/1/2019,-0.7757679377783632
4.458029389653336e-05,Colombo Proper,8/1/2019,8/2/2019,-1.3405803843664204
0.00015854271692552723,Colombo Proper,8/2/2019,8/3/2019,0.0
6.93505158442184e-05,Colombo Proper,8/3/2019,8/4/2019,-1.0491994819875643
4.396326486663663e-06,Colombo Proper,8/5/2019,8/6/2019,-1.8132786391410267
5.951792946298224e-05,Colombo Proper,8/6/2019,8/7/2019,-1.1648636814660192
0.000235897,Colombo Proper,8/7/2019,8/8/2019,0.9099458556614115
0.00015854271692552723,Colombo Proper,8/8/2019,8/9/2019,0.0
0.00015854271692552723,Colombo Proper,8/10/2019,8/11/2019,0.0
0.000162183,Colombo Proper,8/11/2019,8/12/2019,0.04282194036834131
0.00015854271692552723,Colombo Proper,8/12/2019,8/13/2019,0.0
0.00015854271692552723,Colombo Proper,8/13/2019,8/14/2019,0.0
5.860973694382833e-05,Colombo Proper,8/14/2019,8/15/2019,-1.175547072043774
0.000135059,Colombo Proper,8/15/2019,8/16/2019,-0.27624728770786156
0.00015854271692552723,Colombo Proper,8/16/2019,8/17/2019,0.0
0.000168573,Colombo Proper,8/17/2019,8/18/2019,0.1179897757689805
3.706723761402327e-05,Colombo Proper,8/18/2019,8/19/2019,-1.4289591289672743
8.584961620742005e-05,Colombo Proper,8/19/2019,8/20/2019,-0.8551147151081014
8.793838791530453e-05,Colombo Proper,8/20/2019,8/21/2019,-0.8305437529910792
8.479952216441172e-05,Colombo Proper,8/21/2019,8/22/2019,-0.8674673436182802
0.00015854271692552723,Colombo Proper,8/22/2019,8/23/2019,0.0
0.00015854271692552723,Colombo Proper,8/23/2019,8/24/2019,0.0
0.000151231,Colombo Proper,8/24/2019,8/25/2019,-0.0860103183652738
2.8320877798642062e-05,Colombo Proper,8/25/2019,8/26/2019,-1.5318456602595028
0.00015854271692552723,Colombo Proper,8/26/2019,8/27/2019,0.0
0.00015854271692552723,Colombo Proper,8/27/2019,8/28/2019,0.0
0.000189373,Colombo Proper,8/28/2019,8/29/2019,0.36266754984304883
4.148157993699298e-05,Colombo Proper,8/31/2019,9/1/2019,-1.3770316552372177
1.1819308958476046e-05,Colombo Proper,9/1/2019,9/2/2019,-1.725959464708629
0.000125487,Colombo Proper,9/2/2019,9/3/2019,-0.38884611720002416
2.2278653994414338e-05,Colombo Proper,9/3/2019,9/4/2019,-1.6029224809746847
6.601078846206005e-05,Colombo Proper,9/4/2019,9/5/2019,-1.0884858791933683
6.189868745003109e-05,Colombo Proper,9/5/2019,9/6/2019,-1.1368579812313957
6.96768756388925e-06,Colombo Proper,9/6/2019,9/7/2019,-1.7830308071835146
0.000142528,Colombo Proper,9/7/2019,9/8/2019,-0.18838679277713016
